any;àmbit territorial de planificació;branques d'activitat;concepte;estat;valor
2016;Metropolità;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;21022,1
2016;Metropolità;transport, informació i comunicacions;valor afegit brut (milions €);;13573
2016;Metropolità;hostaleria;valor afegit brut (milions €);;8725,9
2016;Metropolità;activitats financeres i d'assegurances;valor afegit brut (milions €);;5200,5
2016;Metropolità;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;33067,7
2016;Metropolità;administració pública i altres serveis;valor afegit brut (milions €);;28513,5
2016;Metropolità;total;valor afegit brut (milions €);;110102,7
2016;Comarques Gironines;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;2358,1
2016;Comarques Gironines;transport, informació i comunicacions;valor afegit brut (milions €);;824,2
2016;Comarques Gironines;hostaleria;valor afegit brut (milions €);;1532,4
